pump_combination                                                                                  , target_q, prevalence, power , pump      , speed , q  , pump_power
"{""grundfos_1"": 2621.0}"                                                                        ,      189,      64.05,  45.24, grundfos_1, 2621.0, 189,      45.24
"{""grundfos_1"": 2365.0}"                                                                        ,       86,      64.05,  26.03, grundfos_1, 2365.0,  86,      26.03
"{""grundfos_3"": 2300.0}"                                                                        ,       12,      64.01,  17.04, grundfos_3, 2300.0,  12,      17.04
"{""grundfos_1"": 2508.0}"                                                                        ,      155,      64.01,  38.11, grundfos_1, 2508.0, 155,      38.11
"{""grundfos_1"": 2434.0}"                                                                        ,      126,      64.02,  32.75, grundfos_1, 2434.0, 126,      32.75
"{""grundfos_1"": 2655.0}"                                                                        ,      198,      64.05,  47.32, grundfos_1, 2655.0, 198,      47.32
"{""grundfos_1"": 2610.0}"                                                                        ,      186,      64.05,  44.57, grundfos_1, 2610.0, 186,      44.57
"{""grundfos_1"": 2494.0}"                                                                        ,      150,      64.02,  37.16, grundfos_1, 2494.0, 150,      37.16
"{""grundfos_1"": 2436.0}"                                                                        ,      127,      64.0 ,  32.92, grundfos_1, 2436.0, 127,      32.92
"{""grundfos_1"": 2517.0}"                                                                        ,      158,      64.02,  38.71, grundfos_1, 2517.0, 158,      38.71
"{""grundfos_1"": 2352.0}"                                                                        ,       76,      64.0 ,  24.45, grundfos_1, 2352.0,  76,      24.45
"{""grundfos_3"": 2312.0}"                                                                        ,       28,      64.03,  18.4 , grundfos_3, 2312.0,  28,      18.4
"{""grundfos_1"": 2526.0}"                                                                        ,      161,      64.02,  39.3 , grundfos_1, 2526.0, 161,      39.3
"{""grundfos_1"": 2923.0}"                                                                        ,      258,      64.05,  63.84, grundfos_1, 2923.0, 258,      63.84
"{""grundfos_1"": 2432.0}"                                                                        ,      125,      64.03,  32.58, grundfos_1, 2432.0, 125,      32.58
"{""grundfos_1"": 2497.0}"                                                                        ,      151,      64.03,  37.36, grundfos_1, 2497.0, 151,      37.36
"{""grundfos_1"": 2754.0}"                                                                        ,      222,      64.05,  53.35, grundfos_1, 2754.0, 222,      53.35
"{""grundfos_3"": 2296.0}"                                                                        ,        7,      64.01,  16.66, grundfos_3, 2296.0,   7,      16.66
"{""grundfos_3"": 2320.0}"                                                                        ,       39,      64.04,  19.54, grundfos_3, 2320.0,  39,      19.54
"{""grundfos_1"": 2462.0}"                                                                        ,      138,      64.0 ,  34.91, grundfos_1, 2462.0, 138,      34.91
"{""grundfos_1"": 2798.0}"                                                                        ,      232,      64.0 ,  56.05, grundfos_1, 2798.0, 232,      56.05
"{""grundfos_1"": 2581.0}"                                                                        ,      178,      64.0 ,  42.79, grundfos_1, 2581.0, 178,      42.79
"{""grundfos_1"": 2767.0}"                                                                        ,      225,      64.04,  54.14, grundfos_1, 2767.0, 225,      54.14
"{""grundfos_3"": 2330.0}"                                                                        ,       53,      64.0 ,  21.2 , grundfos_3, 2330.0,  53,      21.2
"{""grundfos_1"": 2613.0}"                                                                        ,      187,      64.01,  44.76, grundfos_1, 2613.0, 187,      44.76
"{""grundfos_1"": 2893.0}"                                                                        ,      252,      64.03,  61.95, grundfos_1, 2893.0, 252,      61.95
